,Velocity
768,473.59474729302036
769,476.1974973843484
770,478.80022484327367
771,481.40292966996896
772,484.00561186464154
773,486.60827142749866
774,489.21090835874764
775,491.81352265856106
776,494.4161143271463
777,497.01868336467606
778,499.6212297713576
779,502.22375354739813
780,504.8262546930049
781,507.42873320838527
782,510.03118909371176
783,512.6336223491571
784,515.2360329749632
785,517.8384209713028
786,520.4407863383828
787,523.0431290763762
788,525.6454491855245
789,528.2477466660006
790,530.850021517977
791,533.4522737416956
792,536.0545033373289
793,538.6567103050498
794,541.2588946450999
795,543.8610563576517
796,546.4631954429126
797,549.0653119010552
798,551.6674057323213
799,554.2694769368834
800,556.8715255149142
801,559.4735514666554
802,562.0755547922796
803,564.6775354919596
804,567.2794935659368
805,569.8814290143841
806,572.4833418375086
807,575.0852320354828
808,577.687099608514
809,580.2889445568092
810,582.8907668805756
811,585.4925665799858
812,588.094343655247
813,590.6960981065663
814,593.2978299341163
815,595.8995391381386
816,598.5012257187713
817,601.1028896762558
818,603.7045310107652
819,606.3061497225062
820,608.9077458116863
821,611.5093192784775
822,614.1108701230875
823,616.7123983457228
824,619.3139039465564
825,621.9153869257952
826,624.5168472836466
827,627.1182850202827
828,629.7197001359453
829,632.321092630807
830,634.9224625050402
831,637.5238097588523
832,640.12513439245
833,642.7264364060405
834,645.3277157998308
835,647.9289725739936
836,650.5302067287013
837,653.1314182641954
838,655.7326071806484
839,658.3337734782677
840,660.9349171572599
841,663.5360382177977
842,666.1371366600881
843,668.7382124843382
844,671.3392656907204
845,673.9402962794418
846,676.5413042507093
847,679.1422896046955
848,681.743252341642
849,684.344192461721
850,686.9451099651052
851,689.5460048520362
852,692.1468771226862
853,694.747726777228
854,697.3485538159027
855,699.9493582388832
856,702.5501400463761
857,705.1508992385541
858,707.7516358156242
859,710.3523497777933
860,712.9530411252681
861,715.5537098582215
862,718.1543559768601
863,720.754979481391
864,723.3555803719868
865,725.9561586488542
866,728.5567143122001
867,731.1572473622318
868,733.7577577991215
869,736.358245623076
870,738.9587108343023
871,741.5591534329731
872,744.1595734192948
873,746.7599707934747
874,749.3603455556853
875,751.9606977061333
876,754.5610272450256
877,757.1613341725691
878,759.7616184889363
879,762.3618801943339
880,764.9621192889346
881,767.5623357729796
882,770.1625296466412
883,772.7627009101266
884,775.3628495636078
885,777.962975607292
886,780.5630790413858
887,783.1631598660961
888,785.7632180815956
889,788.3632536880907
890,790.9632666857884
891,793.5632570748614
892,796.1632248555161
893,798.7631700279596
894,801.3630925923641
895,803.9629925489367
896,806.5628698978838
897,809.1627246394127
898,811.7625567736955
899,814.3623663009389
900,816.9621532213499
901,819.5619175351009
902,822.1616592423985
903,824.7613783434496
904,827.3610748384611
905,829.9607487276052
906,832.5604000110887
907,835.160028689084
908,837.7596347618324
909,840.359218229506
910,842.9587790923118
911,845.558317350422
912,848.1578330040434
913,850.7573260533827
914,853.3567964986469
915,855.9562443400079
916,858.5556695776729
917,861.1550722118138
918,863.7544522426722
919,866.35380967042
920,868.9531444952642
921,871.5524567173769
922,874.1517463369651
923,876.7510133542352
924,879.3502577693943
925,881.9494795826143
926,884.5486787941022
927,887.1478554040646
928,889.7470094126737
929,892.3461408201364
930,894.9452496266591
931,897.5443358324488
932,900.1433994376778
933,902.7424404425525
934,905.3414588472453
935,907.9404546519972
936,910.5394278569808
937,913.1383784624026
938,915.7373064684346
939,918.3362118752835
940,920.9350946831563
941,923.5339548922594
942,926.1327925027653
943,928.7316075148804
944,931.3303999287768
945,933.929169744696
946,936.5279169628099
947,939.1266415833252
